Data;13921;13922;21180;21962;25389;28045
07/1989;26,67 ;25,75 ;-;-;-;-
08/1989;33,78 ;33,09 ;-;-;-;-
09/1989;36,10 ;35,06 ;-;-;-;-
10/1989;38,15 ;36,72 ;-;-;-;-
11/1989;48,08 ;47,54 ;-;-;-;-
12/1989;51,73 ;51,44 ;-;-;-;-
01/1990;71,40 ;70,83 ;-;-;-;-
02/1990;77,06 ;74,05 ;-;-;-;-
03/1990;81,46 ;81,10 ;-;-;-;-
04/1990;15,20 ;14,91 ;-;-;-;-
05/1990;8,34 ;8,26 ;-;-;-;-
06/1990;11,00 ;11,95 ;-;-;-;-
07/1990;12,21 ;12,22 ;-;-;-;-
08/1990;12,52 ;11,38 ;-;-;-;-
09/1990;14,16 ;14,15 ;-;-;-;-
10/1990;13,87 ;13,55 ;-;-;-;-
11/1990;17,93 ;16,81 ;-;-;-;-
12/1990;17,73 ;17,98 ;-;-;-;-
01/1991;21,10 ;21,67 ;-;-;-;-
02/1991;21,02 ;22,17 ;-;-;-;-
03/1991;12,34 ;12,87 ;-;-;-;-
04/1991;6,13 ;5,97 ;-;-;-;-
05/1991;6,76 ;5,90 ;-;-;-;-
06/1991;9,82 ;10,27 ;-;-;-;-
07/1991;12,72 ;12,26 ;-;-;-;-
09/1991;25,52 ;25,74 ;-;-;-;-
10/1991;20,94 ;20,93 ;-;-;-;-
11/1991;27,07 ;27,79 ;-;-;-;-
12/1991;24,34 ;24,00 ;-;-;-;-
01/1992;25,91 ;26,05 ;-;-;-;-
02/1992;26,06 ;25,60 ;-;-;-;-
03/1992;20,94 ;21,33 ;-;-;-;-
04/1992;19,57 ;19,97 ;-;-;-;-
05/1992;23,63 ;22,71 ;-;-;-;-
06/1992;20,41 ;20,98 ;-;-;-;-
07/1992;21,52 ;21,74 ;-;-;-;-
08/1992;21,88 ;22,38 ;-;-;-;-
09/1992;22,92 ;23,29 ;-;-;-;-
10/1992;26,05 ;26,88 ;-;-;-;-
11/1992;22,53 ;22,96 ;-;-;-;-
12/1992;25,13 ;25,16 ;-;-;-;-
01/1993;30,29 ;29,48 ;-;-;-;-
02/1993;25,38 ;25,30 ;-;-;-;-
03/1993;27,27 ;27,34 ;-;-;-;-
04/1993;26,89 ;27,20 ;-;-;-;-
05/1993;27,99 ;27,43 ;-;-;-;-
06/1993;29,55 ;29,80 ;-;-;-;-
07/1993;29,88 ;30,12 ;-;-;-;-
08/1993;33,25 ;33,32 ;-;-;-;-
09/1993;35,09 ;35,53 ;-;-;-;-
10/1993;33,90 ;33,87 ;-;-;-;-
11/1993;36,99 ;37,56 ;-;-;-;-
12/1993;35,94 ;36,90 ;-;-;-;-
01/1994;42,14 ;42,58 ;-;-;-;-
02/1994;41,62 ;42,22 ;-;-;-;-
03/1994;41,39 ;41,87 ;-;-;-;-
04/1994;41,57 ;41,86 ;-;-;-;-
05/1994;41,26 ;40,65 ;-;-;-;-
06/1994;48,40 ;48,89 ;-;-;-;-
07/1994;7,66 ;8,59 ;-;-;-;-
08/1994;1,43 ;1,27 ;-;-;-;-
09/1994;1,24 ;0,99 ;-;-;-;-
10/1994;2,99 ;3,07 ;-;-;-;-
11/1994;2,52 ;2,73 ;-;-;-;-
12/1994;2,05 ;1,91 ;-;-;-;-
01/1995;1,81 ;1,56 ;-;-;-;-
02/1995;0,73 ;0,81 ;-;-;-;-
03/1995;1,46 ;1,56 ;-;-;-;-
04/1995;1,86 ;2,02 ;-;-;-;-
05/1995;2,66 ;2,27 ;-;-;-;-
06/1995;2,38 ;2,49 ;-;-;-;-
07/1995;2,56 ;2,65 ;-;-;-;-
08/1995;1,08 ;0,90 ;-;-;-;-
09/1995;0,66 ;0,58 ;-;-;-;-
10/1995;1,04 ;0,92 ;-;-;-;-
11/1995;1,41 ;1,28 ;-;-;-;-
12/1995;1,25 ;1,21 ;-;-;-;-
01/1996;1,40 ;1,37 ;-;-;-;-
